Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
13,3.29,INF,1.52,INF,1.29,1.19,2.10,1.29,INF,2.29,INF,1.44,3.19,,1.28,2.38,1.63,1.19,12.35,2.36,1.38,4.91,1.72,4.72,INF,2.08,INF,1.19,4.04,1.62
14,1.86,150.00,2.73,INF,3.53,1.59,3.00,1.20,INF,INF,INF,1.66,4.27,1.34,,1.50,1.50,1.28,2.78,INF,2.98,INF,INF,INF,INF,1.59,INF,1.51,1.61,1.44
15,1.07,1.39,2.16,2.63,2.80,1.71,2.11,1.08,INF,2.07,10.10,1.29,2.27,2.26,1.45,,1.45,3.51,1.15,2.19,3.14,38.46,INF,INF,2.65,1.07,INF,2.28,1.72,1.15
16,1.51,3.76,2.27,INF,2.94,1.71,2.40,1.08,INF,2.27,INF,1.29,3.04,1.56,1.39,1.39,,2.36,1.58,2.50,2.63,INF,5.77,INF,3.73,1.44,INF,1.86,1.72,1.08
17,5.41,INF,2.73,INF,3.16,1.39,4.36,1.75,INF,INF,INF,2.31,INF,1.11,1.15,2.86,2.07,,INF,INF,2.07,INF,7.94,INF,INF,2.73,INF,1.15,4.29,2.29
18,1.11,1.10,2.80,1.86,INF,1.96,1.79,1.11,INF,2.50,9.26,1.34,2.04,9.09,2.44,1.11,1.50,INF,,1.71,INF,INF,INF,INF,1.34,1.33,INF,2.86,1.67,1.23
19,2.34,3.00,1.50,1.19,2.21,1.88,1.20,1.50,3.44,1.07,1.10,1.50,1.19,2.44,INF,1.97,2.08,INF,1.64,,2.28,1.34,1.88,2.38,INF,1.44,1.72,2.50,INF,1.79
20,8.11,INF,1.15,INF,1.03,1.59,1.39,2.00,INF,1.39,2.63,1.83,2.16,1.34,2.65,2.63,2.51,1.95,INF,2.08,,1.79,1.11,1.81,INF,2.16,INF,1.62,INF,2.38
21,INF,INF,1.29,2.57,1.71,3.00,1.15,INF,1.96,1.00,1.34,2.50,1.44,4.10,INF,21.43,INF,INF,INF,1.47,1.98,,1.23,1.11,INF,2.73,1.45,14.29,INF,28.85
22,INF,INF,1.03,INF,1.03,2.13,1.03,61.22,INF,1.10,2.13,1.98,2.07,1.57,INF,INF,5.37,9.38,INF,2.08,1.07,1.15,,1.29,INF,2.04,2.99,2.38,INF,11.58
23,INF,INF,1.54,214.29,1.65,4.05,1.59,INF,8.72,1.29,1.64,3.38,2.88,4.41,INF,INF,INF,INF,INF,2.78,2.02,1.15,1.34,,INF,5.85,1.50,32.97,INF,INF
24,1.79,1.15,INF,60.00,INF,INF,INF,2.50,INF,INF,INF,3.38,INF,INF,INF,2.88,4.05,INF,1.47,INF,INF,INF,INF,INF,,3.24,INF,INF,1.15,3.26
25,1.34,2.78,1.70,2.26,2.29,1.44,1.58,1.08,INF,1.63,2.14,1.11,1.56,1.97,1.52,1.11,1.50,3.33,1.39,1.50,2.26,2.99,2.14,6.25,3.01,,INF,1.92,2.30,1.19
26,INF,INF,2.78,1.70,4.26,INF,2.07,INF,1.03,1.54,1.19,428.57,2.31,INF,INF,INF,INF,INF,INF,1.95,INF,1.52,3.19,1.56,INF,INF,,INF,INF,INF
27,2.94,INF,1.79,INF,1.56,1.34,1.95,1.43,INF,2.61,INF,1.66,3.19,1.11,1.39,2.39,1.79,1.10,3.32,2.91,1.56,13.04,2.51,21.74,INF,1.85,INF,,3.57,1.79
28,1.71,1.53,INF,INF,INF,3.12,INF,1.49,INF,INF,INF,2.28,60.00,4.36,1.70,1.83,1.90,6.06,1.85,INF,INF,INF,INF,INF,1.19,2.45,INF,4.17,,1.85
29,1.24,2.34,2.04,2.92,2.52,1.56,1.90,1.00,INF,1.95,INF,1.15,2.16,1.56,1.38,1.19,1.10,2.63,1.34,1.98,2.78,22.22,13.64,INF,3.00,1.23,INF,1.95,1.75,
