Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,1.28,2.73,3.16,INF,2.50,2.79,1.15,INF,2.57,INF,1.72,3.17,3.53,1.95,1.15,1.64,7.37,1.19,2.91,10.10,INF,INF,INF,1.88,1.47,INF,3.33,1.79,1.34
1,1.19,,INF,1.72,INF,5.00,INF,1.89,INF,INF,INF,2.49,3.75,INF,333.33,1.34,3.19,INF,1.15,2.91,INF,INF,INF,INF,1.07,2.45,INF,INF,1.40,2.18
2,2.57,INF,,3.99,1.03,1.34,1.11,1.64,INF,1.15,1.79,1.39,1.56,1.45,2.57,2.26,2.38,3.17,3.16,1.62,1.10,1.29,1.07,1.61,INF,1.64,2.60,1.88,INF,1.96
3,2.98,1.64,3.77,,INF,INF,2.11,2.77,1.82,1.87,1.15,2.00,1.59,INF,INF,2.78,INF,INF,2.07,1.25,INF,2.80,INF,INF,44.12,2.16,1.61,INF,INF,2.63
4,214.29,INF,1.08,INF,,1.52,1.34,2.11,INF,1.34,3.00,2.40,2.17,1.34,3.29,3.16,3.33,4.00,INF,2.50,1.07,1.77,1.11,1.79,INF,2.46,4.56,1.69,INF,2.70
5,2.21,5.32,1.23,INF,1.39,,1.52,1.25,INF,1.95,150.00,1.15,2.27,1.10,1.45,1.63,1.56,1.45,1.86,1.98,1.52,3.17,2.04,3.73,INF,1.34,INF,1.29,2.68,1.44
6,2.26,INF,1.07,1.90,1.29,1.45,,1.45,4.52,1.07,1.30,1.28,1.07,1.85,2.41,1.90,2.01,4.62,1.72,1.29,1.45,1.11,1.07,1.63,INF,1.38,1.93,1.85,INF,1.64
7,1.19,2.26,1.77,3.33,2.21,1.39,1.79,,INF,1.63,INF,1.11,2.04,1.39,1.24,1.15,1.15,2.13,1.23,1.87,2.65,INF,115.38,INF,2.69,1.15,INF,1.59,1.55,1.08
8,INF,INF,INF,1.95,INF,INF,6.00,INF,,3.57,1.42,INF,7.14,INF,INF,INF,INF,INF,INF,4.50,INF,2.10,INF,10.03,INF,INF,1.00,INF,INF,INF
9,2.68,INF,1.23,2.05,1.39,2.14,1.15,1.56,3.83,,1.19,1.64,1.23,2.42,INF,2.26,2.38,INF,2.78,1.19,1.62,1.08,1.19,1.39,INF,1.79,1.67,2.86,INF,2.13
10,500.00,INF,1.79,1.23,2.63,142.86,1.37,INF,1.34,1.11,,1.98,1.44,INF,INF,12.50,INF,INF,10.14,1.25,2.92,1.33,2.38,1.70,INF,2.04,1.15,INF,INF,INF
11,1.63,2.78,1.33,1.90,2.13,1.24,1.44,1.03,INF,1.51,1.88,,1.45,1.39,1.52,1.24,1.24,2.86,1.39,1.45,1.90,2.60,1.88,3.12,4.07,1.07,333.33,1.72,2.15,1.10
12,2.57,3.44,1.39,1.52,1.86,2.14,1.03,1.64,5.36,1.15,1.33,1.29,,2.63,3.17,2.05,2.38,INF,1.96,1.15,1.96,1.39,1.77,2.46,INF,1.44,2.16,2.80,35.29,1.87
