Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
16,1.44,2.99,2.38,INF,3.12,1.71,1.92,1.15,INF,2.27,INF,1.39,2.29,1.44,1.23,1.38,,2.52,1.44,2.11,2.50,INF,9.26,INF,4.11,1.39,INF,1.86,1.59,1.23
17,5.00,INF,3.49,INF,4.10,1.83,5.05,2.14,INF,INF,INF,3.03,INF,1.08,1.20,3.03,2.19,,INF,INF,1.87,INF,6.67,INF,INF,3.17,INF,1.15,5.81,2.86
18,1.00,1.03,4.29,2.28,INF,2.16,1.58,1.15,INF,2.36,16.30,1.33,1.64,8.26,2.08,1.08,1.38,INF,,1.52,INF,INF,INF,INF,1.25,1.28,INF,2.80,1.41,1.29
19,2.16,2.60,1.57,1.29,2.26,2.08,1.11,1.39,2.81,1.07,1.11,1.44,1.03,2.13,INF,1.64,2.01,INF,1.45,,2.57,1.19,2.21,2.56,INF,1.45,1.72,2.21,INF,1.90
20,12.50,INF,1.28,INF,1.07,1.71,1.39,2.02,INF,1.47,3.16,1.87,1.72,1.29,2.36,2.70,2.36,1.95,INF,2.26,,1.65,1.23,1.64,INF,2.29,INF,1.50,INF,2.77
21,INF,INF,1.28,2.65,1.39,2.65,1.11,INF,1.82,1.00,1.23,1.95,1.19,2.94,INF,13.89,INF,INF,INF,1.29,1.96,,1.38,1.11,INF,2.13,1.34,28.85,INF,214.29
22,INF,INF,1.15,INF,1.08,2.78,1.15,150.00,INF,1.23,2.98,2.39,1.65,1.56,INF,INF,8.33,7.09,INF,2.26,1.19,1.29,,1.24,INF,2.63,3.51,2.77,INF,29.41
23,INF,INF,1.47,INF,1.34,6.17,1.43,INF,10.14,1.20,1.50,4.33,2.22,5.35,INF,INF,INF,INF,INF,2.78,1.72,1.15,1.29,,INF,6.54,1.38,35.29,INF,INF
24,1.83,1.15,INF,428.57,INF,INF,INF,3.25,INF,INF,INF,5.00,INF,INF,INF,2.68,4.55,INF,1.37,INF,INF,INF,INF,INF,,4.35,INF,INF,1.15,4.76
25,1.34,2.68,1.79,2.80,2.68,1.44,1.39,1.15,INF,1.69,2.51,1.15,1.44,1.79,1.52,1.15,1.44,3.85,1.34,1.52,2.63,2.24,2.80,7.50,3.90,,107.14,2.01,2.16,1.24
26,INF,INF,3.04,1.60,6.25,INF,2.20,INF,1.15,1.37,1.19,INF,2.28,INF,INF,INF,INF,INF,INF,1.95,INF,1.42,3.75,1.50,INF,214.29,,INF,INF,INF
27,2.94,INF,1.87,INF,1.51,1.19,1.70,1.48,INF,2.29,INF,1.72,2.29,1.00,1.34,1.95,1.79,1.10,2.57,2.11,1.51,18.52,2.65,60.00,INF,1.85,INF,,3.85,1.86
28,1.50,1.29,INF,INF,INF,3.36,INF,1.47,INF,INF,INF,2.55,57.69,5.35,1.48,1.59,1.66,7.69,1.54,INF,INF,INF,INF,INF,1.19,2.31,INF,4.17,,1.71
29,1.24,2.57,2.50,3.54,2.98,1.79,1.92,1.03,INF,2.07,INF,1.47,2.19,1.86,1.52,1.23,1.28,3.33,1.39,2.11,3.33,107.14,25.00,INF,4.29,1.29,INF,2.04,1.64,
