Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,1.19,3.00,3.75,INF,2.73,2.31,1.23,INF,2.73,214.29,1.85,2.50,3.33,1.79,1.15,1.58,5.81,1.08,2.45,14.49,INF,INF,INF,1.90,1.48,INF,3.33,1.57,1.34
1,1.11,,INF,2.07,INF,4.65,500.00,1.88,INF,INF,INF,2.50,2.61,INF,38.46,1.34,2.61,INF,1.08,2.40,INF,INF,INF,INF,1.07,2.36,INF,INF,1.19,2.36
2,2.80,INF,,4.04,1.15,1.71,1.11,1.72,INF,1.10,2.05,1.65,1.39,1.56,2.49,2.27,2.51,4.05,4.65,1.64,1.23,1.28,1.19,1.52,INF,1.71,2.86,1.95,INF,2.36
3,3.29,1.95,3.55,,INF,INF,2.02,2.36,1.41,2.29,1.15,2.29,1.54,INF,INF,2.51,INF,INF,2.08,1.25,INF,2.50,INF,INF,333.33,2.51,1.54,INF,INF,3.33
4,INF,INF,1.19,INF,,1.87,1.47,2.18,INF,1.34,3.16,2.36,1.83,1.23,3.14,3.04,3.33,4.62,INF,2.40,1.11,1.44,1.15,1.45,INF,2.86,5.77,1.64,INF,3.16
5,2.42,4.91,1.63,INF,1.70,,1.79,1.29,INF,2.17,85.71,1.25,2.00,1.10,1.38,1.62,1.56,1.72,2.08,2.00,1.63,2.50,2.63,5.00,INF,1.34,INF,1.15,3.17,1.63
6,2.16,107.14,1.07,2.13,1.40,1.85,,1.33,5.16,1.07,1.36,1.33,1.03,1.61,1.92,1.72,2.01,5.26,1.64,1.15,1.45,1.07,1.19,1.47,INF,1.33,2.06,1.81,INF,1.81
7,1.28,2.21,1.88,2.80,2.26,1.44,1.44,,INF,1.57,INF,1.23,1.56,1.44,1.15,1.28,1.24,2.50,1.29,1.56,2.52,INF,333.33,INF,3.45,1.23,INF,1.64,1.52,1.11
8,INF,INF,INF,1.54,INF,INF,6.00,INF,,3.25,1.42,INF,5.43,INF,INF,INF,INF,INF,INF,3.13,INF,1.95,INF,11.86,INF,INF,1.11,INF,INF,INF
9,2.86,INF,1.19,2.80,1.39,2.49,1.15,1.50,3.45,,1.19,1.87,1.19,2.28,INF,2.04,2.49,INF,2.63,1.19,1.77,1.08,1.39,1.29,INF,1.86,1.47,2.80,INF,2.26
10,INF,INF,2.07,1.23,2.98,214.29,1.43,INF,1.34,1.11,,2.16,1.30,INF,INF,16.30,INF,INF,21.43,1.15,3.51,1.23,2.80,1.57,INF,2.27,1.15,INF,INF,INF
11,1.67,2.86,1.57,2.52,2.21,1.34,1.28,1.15,INF,1.63,2.36,,1.19,1.33,1.45,1.33,1.39,3.85,1.39,1.50,1.95,2.05,2.52,4.48,4.48,1.11,230.77,1.81,2.41,1.40
12,2.34,2.86,1.33,1.67,1.64,2.08,1.00,1.44,4.69,1.07,1.25,1.15,,2.08,2.44,1.72,2.16,INF,1.70,1.07,1.95,1.15,1.72,2.16,INF,1.39,2.15,2.42,75.00,1.97
13,3.12,INF,1.63,INF,1.19,1.19,1.70,1.34,INF,2.17,INF,1.44,2.36,,1.15,2.07,1.57,1.15,7.37,2.40,1.33,3.33,1.69,6.00,INF,1.87,INF,1.08,4.78,1.96
14,1.70,75.00,2.63,INF,3.29,1.50,2.18,1.11,INF,INF,INF,1.59,2.78,1.19,,1.50,1.33,1.33,2.36,INF,2.63,INF,INF,INF,INF,1.59,INF,1.45,1.41,1.57
15,1.07,1.38,2.14,2.80,2.86,1.79,1.72,1.19,INF,1.86,12.35,1.39,1.79,1.95,1.39,,1.44,3.85,1.10,1.83,3.29,16.30,INF,INF,2.46,1.11,INF,2.24,1.52,1.19
