Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,3.93,8.13,INF,INF,4.41,6.10,INF,INF,INF,10.35,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
1,4.06,,4.41,7.07,INF,4.92,4.75,5.01,INF,INF,INF,7.19,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
2,7.31,4.08,,3.64,5.36,INF,6.56,4.06,5.32,INF,INF,INF,11.34,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
3,INF,6.65,3.52,,3.80,INF,INF,4.59,4.06,4.41,INF,INF,INF,7.31,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
4,INF,INF,5.61,3.93,,INF,INF,INF,4.75,3.64,INF,INF,INF,INF,6.50,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
5,4.23,4.71,INF,INF,INF,,3.79,7.19,INF,INF,3.80,4.57,INF,INF,INF,6.32,INF,INF,INF,INF,INF,INF,INF,INF,INF
6,5.51,4.40,6.19,INF,INF,3.53,,3.67,8.49,INF,4.80,3.66,5.12,INF,INF,INF,8.00,INF,INF,INF,INF,INF,INF,INF,INF
7,INF,4.79,4.38,4.95,INF,7.53,3.93,,3.91,6.74,INF,4.74,4.21,4.84,INF,INF,INF,13.54,INF,INF,INF,INF,INF,INF,INF
8,INF,INF,5.14,4.36,4.95,INF,8.98,3.79,,3.67,INF,INF,5.61,3.92,5.14,INF,INF,INF,8.53,INF,INF,INF,INF,INF,INF
9,INF,INF,INF,4.71,3.80,INF,INF,6.50,3.77,,INF,INF,INF,3.92,3.92,INF,INF,INF,INF,5.89,INF,INF,INF,INF,INF
10,9.50,INF,INF,INF,INF,3.64,5.27,INF,INF,INF,,4.25,11.13,INF,INF,3.80,4.74,INF,INF,INF,5.33,INF,INF,INF,INF
11,INF,6.85,INF,INF,INF,4.74,3.92,4.93,INF,INF,4.40,,4.25,7.64,INF,4.38,4.20,6.17,INF,INF,INF,5.35,INF,INF,INF
12,INF,INF,12.50,INF,INF,INF,5.63,4.06,5.82,INF,11.69,4.06,,4.06,8.77,INF,4.71,4.79,4.79,INF,INF,INF,7.85,INF,INF
13,INF,INF,INF,6.88,INF,INF,INF,4.22,3.66,3.64,INF,6.95,3.67,,3.53,INF,INF,5.14,3.93,4.22,INF,INF,INF,6.19,INF
14,INF,INF,INF,INF,6.17,INF,INF,INF,4.74,3.64,INF,INF,8.05,3.67,,INF,INF,INF,5.66,3.80,INF,INF,INF,INF,6.97
15,INF,INF,INF,INF,INF,6.19,INF,INF,INF,INF,3.93,4.20,INF,INF,INF,,4.20,6.97,INF,INF,3.80,4.06,INF,INF,INF
16,INF,INF,INF,INF,INF,INF,8.53,INF,INF,INF,4.55,4.08,4.57,INF,INF,4.08,,4.59,6.65,INF,4.71,4.06,4.57,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,12.80,INF,INF,INF,5.88,4.59,5.85,INF,7.28,4.75,,4.38,6.68,INF,4.93,4.06,4.55,INF
18,INF,INF,INF,INF,INF,INF,INF,INF,9.48,INF,INF,INF,5.01,4.41,6.40,INF,7.28,4.57,,3.67,INF,INF,4.79,3.77,3.91
19,INF,INF,INF,INF,INF,INF,INF,INF,INF,5.66,INF,INF,INF,4.59,4.06,INF,INF,6.36,3.41,,INF,INF,INF,3.77,3.66
20,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,5.12,INF,INF,INF,INF,3.64,4.57,INF,INF,INF,,3.67,5.20,INF,INF
21,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,5.63,INF,INF,INF,4.21,4.21,5.12,INF,INF,3.93,,3.64,6.11,INF
22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,9.16,INF,INF,INF,4.93,4.36,5.01,INF,5.82,3.80,,3.92,5.40
23,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,6.56,INF,INF,INF,4.57,3.67,3.92,INF,5.87,3.64,,3.53
24,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,7.74,INF,INF,INF,3.79,3.79,INF,INF,4.90,3.67,
