Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,INF,INF,INF,INF,INF,3.33,2.22,INF,INF,0.96,2.86,INF,INF,INF,0.78,INF,INF,2.16,1.25,INF,1.49,INF,INF,INF,INF,2.50,INF,INF,INF,INF,0.67,INF,5.00,INF,INF,INF,INF,INF,1.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.86
1,INF,,INF,0.55,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.98,INF,INF,INF,INF,INF,INF,INF,0.74,INF,INF,INF,INF,INF,INF,10.00,INF,INF,INF,INF,INF,INF,INF,INF,0.55,INF,INF,0.68,INF,INF,1.44,INF
2,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.67,INF,INF,INF,0.83,INF,INF,INF,0.61,INF,INF,INF,INF,INF,INF,INF,INF,0.83,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
3,INF,0.67,INF,,INF,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.08,INF,INF,INF,INF,INF,INF,20.83,INF,INF,INF,INF,INF,INF,1.23,INF,0.74,INF,INF,0.50,INF,INF,0.83,INF
4,INF,INF,INF,INF,,1.98,1.68,INF,INF,INF,INF,INF,INF,0.75,INF,INF,INF,1.67,INF,INF,INF,INF,0.45,0.83,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.33,INF,0.68,INF,INF,1.23,INF,0.78,0.60,INF,INF,INF,INF,INF
5,INF,INF,INF,INF,3.03,,3.27,7.81,INF,INF,INF,4.00,INF,1.72,1.19,INF,INF,INF,INF,INF,INF,5.00,INF,INF,INF,INF,INF,1.08,INF,INF,INF,INF,INF,INF,1.87,INF,INF,1.49,0.86,INF,INF,2.38,INF,INF,INF,INF,INF,INF,INF,5.88
6,2.00,INF,INF,INF,1.33,1.33,,0.42,INF,0.56,INF,1.72,INF,INF,INF,1.08,INF,INF,INF,INF,INF,0.67,2.16,0.67,INF,INF,INF,INF,14.71,INF,INF,11.90,INF,1.70,INF,INF,INF,INF,0.83,INF,INF,0.68,INF,INF,INF,INF,INF,INF,INF,INF
7,1.11,INF,INF,INF,INF,1.49,0.45,,INF,1.43,INF,0.50,INF,INF,INF,0.68,INF,INF,INF,INF,INF,0.42,INF,1.08,INF,INF,5.95,INF,INF,INF,INF,2.49,INF,2.16,INF,INF,INF,INF,INF,INF,INF,1.11,INF,INF,INF,INF,INF,INF,INF,1.08
8,INF,INF,INF,0.96,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.50,INF,INF,INF,INF,INF,1.08,INF,0.96,INF,INF,INF,INF,INF,INF,INF,0.56,INF,2.16,INF,INF,1.70,1.25,INF,0.49,INF
9,INF,INF,INF,INF,INF,INF,0.62,1.98,INF,,INF,INF,INF,INF,INF,2.53,INF,INF,INF,INF,INF,1.23,2.38,0.96,INF,INF,3.97,INF,2.00,INF,INF,INF,INF,1.25,INF,INF,INF,INF,INF,INF,INF,1.67,INF,INF,INF,INF,INF,INF,INF,INF
10,0.61,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,1.25,INF,INF,0.68,INF,INF,2.38,INF,INF,INF,INF,0.83,INF,INF,INF,INF,1.72,INF,3.79,INF,INF,INF,INF,INF,1.44,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
11,1.23,INF,INF,INF,INF,1.49,1.49,0.56,INF,INF,INF,,INF,INF,INF,1.49,INF,INF,INF,INF,INF,0.96,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.44,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.38,INF,INF,INF,INF,INF,INF,INF,0.68
12,INF,INF,0.60,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.49,INF,INF,INF,0.61,0.96,INF,1.00,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.49,INF,INF,INF
13,INF,INF,INF,INF,1.00,2.16,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,0.68,INF,INF,INF,INF,1.32,2.50,INF,INF,INF,2.50,INF,INF,INF,INF,INF,INF,INF,INF,1.89,INF,0.55,INF,INF,3.03,INF,INF,1.11,INF,INF,INF,INF,INF
14,INF,INF,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,0.68,INF,INF,0.42,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.49,INF,INF
15,0.60,INF,INF,INF,INF,INF,1.43,0.91,INF,1.43,1.67,2.00,INF,INF,INF,,INF,INF,6.67,INF,INF,0.68,INF,5.95,INF,INF,2.16,INF,INF,INF,INF,3.97,INF,0.86,INF,INF,INF,INF,INF,INF,INF,1.67,INF,INF,INF,INF,INF,INF,INF,1.11
