Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
26,INF,INF,INF,INF,47.08,INF,INF,INF,5.41,INF,INF,INF,5.33,5.51,INF,INF,28.44,14.93,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,3.41,INF,INF,INF,INF,3.41,INF,256.00,9.18,INF,39.23,3.79,INF,34.13,INF,INF,INF,INF
27,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
28,304.76,37.93,INF,INF,INF,37.93,517.17,INF,INF,37.93,34.13,INF,INF,INF,INF,63.21,INF,INF,INF,INF,INF,96.97,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,68.27,INF,INF,INF,INF,34.13,INF,INF,INF
29,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,47.41,INF,INF,711.11,INF,42.67,INF,INF,INF,INF,INF,INF,INF,258.59,INF,,INF,465.45,INF,INF,INF,34.13,INF,INF,INF,37.93,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
30,INF,INF,54.70,437.61,189.63,INF,INF,56.89,INF,INF,INF,129.29,INF,INF,INF,3413.33,INF,INF,189.63,INF,INF,INF,INF,60.95,113.78,70.78,INF,INF,INF,INF,,INF,INF,INF,81.27,INF,INF,INF,113.78,INF,284.44,INF,91.76,INF,42.14,170.67,INF,INF,INF,1365.33
31,0.44,0.38,INF,INF,INF,0.49,0.34,INF,INF,2.65,1.29,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.75,INF,INF,INF,INF,INF,INF,0.85,INF,4.59,INF,,INF,0.38,INF,INF,INF,INF,INF,3.45,INF,INF,INF,INF,INF,INF,0.54,INF,INF,INF
32,INF,INF,INF,INF,INF,INF,INF,INF,54.18,INF,INF,INF,72.78,INF,INF,INF,INF,47.98,INF,INF,INF,INF,63.21,INF,INF,INF,37.93,INF,INF,INF,INF,INF,,INF,INF,INF,68.27,37.93,INF,INF,128.00,INF,INF,37.93,INF,INF,INF,47.41,47.41,102.40
33,34.13,34.13,INF,INF,INF,38.79,37.93,INF,INF,81.27,60.09,INF,INF,75.85,INF,INF,INF,INF,INF,INF,48.76,341.33,INF,INF,INF,INF,INF,85.33,298.67,INF,INF,38.40,INF,,INF,INF,INF,INF,INF,775.76,INF,INF,INF,INF,INF,INF,44.10,INF,INF,INF
34,INF,INF,INF,387.88,113.78,INF,INF,110.11,INF,INF,INF,129.29,INF,INF,INF,47.41,INF,INF,113.78,INF,INF,56.89,INF,37.93,77.58,68.27,INF,INF,INF,INF,75.85,INF,INF,INF,,INF,INF,INF,INF,INF,INF,38.40,85.33,INF,56.89,INF,INF,INF,INF,INF
35,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,42.67,INF,INF,258.59,INF,34.13,INF,INF,INF,INF,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,INF,,INF,INF,INF,42.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
36,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,42.14,INF,INF,INF,INF,INF,INF,INF,INF,INF,75.85,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,37.93,43.10,INF
37,INF,INF,INF,INF,INF,INF,INF,INF,37.93,INF,INF,INF,42.67,284.44,203.78,INF,INF,39.01,INF,470.80,INF,INF,75.85,INF,INF,INF,37.93,INF,INF,INF,INF,INF,34.13,INF,INF,INF,INF,,INF,238.14,269.47,INF,INF,37.93,INF,INF,INF,42.67,48.76,INF
38,INF,INF,0.71,4.27,2.37,INF,INF,0.71,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.71,INF,INF,INF,INF,INF,INF,INF,,INF,0.61,INF,0.71,INF,0.71,0.55,INF,INF,INF,0.62
39,18.20,INF,INF,INF,INF,INF,INF,INF,3.79,INF,INF,INF,INF,6.83,3.79,INF,INF,4.27,INF,3.79,5.69,INF,INF,INF,INF,INF,INF,13.76,INF,3.79,INF,40.96,INF,68.27,INF,4.27,INF,25.86,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
