Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,INF,1.17,INF,INF,13.89,9.26,INF,0.67,2.16,0.85,INF,0.87,INF,INF,INF,4.63,1.26,9.26,INF,1.98,INF,INF,INF,INF,INF,INF,INF,2.16,INF,INF,INF,INF,0.80,9.26,INF,INF,INF,INF,13.89,INF,INF,INF,INF,INF,0.44,INF,0.87,INF,INF
1,INF,,2.16,INF,INF,INF,INF,2.53,5.95,1.54,INF,INF,INF,INF,0.89,INF,9.26,INF,0.80,INF,4.17,6.94,INF,INF,INF,INF,4.17,INF,1.68,INF,INF,1.68,INF,INF,3.40,2.31,13.89,0.52,INF,INF,0.80,11.11,1.28,0.75,INF,INF,INF,INF,INF,3.40
2,1.26,2.38,,INF,INF,INF,INF,INF,0.55,0.52,3.09,INF,2.31,INF,4.17,INF,3.97,6.17,2.08,INF,2.06,INF,INF,INF,INF,INF,INF,INF,0.92,INF,INF,1.89,INF,1.68,0.74,INF,6.94,1.52,INF,20.83,2.78,INF,4.17,1.89,INF,0.99,INF,2.31,INF,INF
3,INF,INF,INF,,0.46,2.78,2.31,INF,INF,INF,INF,2.60,INF,0.85,INF,1.39,5.56,INF,INF,0.49,INF,6.17,1.60,1.54,0.74,3.97,7.58,INF,INF,1.42,5.56,INF,INF,INF,INF,INF,INF,INF,INF,5.56,INF,6.17,INF,INF,0.56,INF,INF,INF,0.52,INF
4,INF,INF,INF,0.49,,4.63,4.17,INF,INF,INF,INF,INF,INF,3.47,INF,13.89,9.26,INF,INF,0.51,INF,2.31,2.31,2.16,1.39,2.08,4.17,INF,INF,5.21,1.68,INF,3.09,INF,INF,INF,INF,INF,INF,10.42,INF,3.09,INF,INF,0.46,INF,INF,INF,0.55,INF
5,9.26,INF,INF,2.38,5.95,,0.46,INF,INF,INF,2.98,1.74,INF,13.89,INF,5.21,0.62,INF,3.40,3.09,2.08,3.09,0.69,0.80,16.67,3.47,0.87,INF,3.97,4.76,5.56,INF,INF,INF,INF,INF,INF,INF,INF,0.62,INF,2.31,INF,INF,3.70,6.94,INF,INF,3.09,INF
6,6.94,INF,INF,1.98,4.63,0.49,,INF,INF,INF,2.31,0.74,INF,7.58,INF,2.14,0.54,INF,4.76,3.09,2.65,2.98,0.62,0.74,5.56,5.21,1.54,INF,6.94,2.53,INF,INF,INF,6.94,INF,INF,INF,INF,INF,0.49,INF,2.31,INF,INF,3.33,6.94,INF,INF,3.03,INF
7,INF,3.09,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,9.26,INF,INF,INF,INF,INF,INF,2.08,INF,INF,INF,2.98,3.40,1.07,INF,INF,1.01,INF,4.17,INF,INF,0.42,INF,3.33,1.28,INF,5.95,2.98,INF,1.74,INF,INF,0.49,INF,INF,INF
8,0.73,7.94,0.58,INF,INF,INF,INF,INF,,1.98,2.53,INF,0.84,INF,INF,INF,6.94,2.65,5.21,INF,4.17,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,INF,1.17,2.16,INF,INF,5.95,INF,27.78,27.78,INF,INF,INF,INF,0.51,INF,1.85,INF,INF
9,2.38,1.85,0.55,INF,INF,INF,INF,INF,1.70,,5.56,INF,3.97,INF,2.78,INF,9.26,INF,1.68,INF,2.38,INF,INF,INF,INF,INF,INF,INF,0.62,INF,INF,2.06,INF,5.56,0.63,INF,6.67,0.74,INF,INF,1.17,INF,3.09,2.14,INF,1.89,INF,INF,INF,3.97
