Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,0.99,INF,3.70,INF,INF,3.97,2.98,INF,2.16,4.63,,2.31,1.85,INF,INF,INF,1.67,1.07,3.47,INF,1.39,INF,4.63,INF,INF,INF,5.56,INF,1.89,INF,INF,INF,INF,0.85,INF,INF,INF,INF,INF,1.89,INF,INF,INF,INF,INF,0.80,INF,1.38,INF,INF
11,INF,INF,INF,4.17,INF,2.78,1.04,INF,INF,INF,3.70,,INF,2.38,INF,0.95,18.52,INF,INF,INF,INF,INF,2.78,4.17,10.42,INF,INF,INF,INF,2.31,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.98,INF,INF,INF,INF,11.11,INF,INF,INF,6.94,INF
12,0.80,INF,1.32,INF,INF,INF,INF,INF,0.71,2.38,1.39,INF,,INF,INF,INF,INF,1.01,INF,INF,5.21,INF,INF,INF,INF,INF,INF,INF,3.09,INF,INF,INF,INF,0.74,3.97,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.74,INF,0.54,INF,INF
13,INF,INF,INF,0.93,2.98,8.33,6.41,INF,INF,INF,INF,1.52,INF,,INF,0.54,11.90,INF,INF,1.89,INF,INF,1.98,9.26,1.19,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,13.89,INF,INF,INF,INF,1.74,INF,INF,INF,1.89,INF
14,INF,0.75,3.03,INF,INF,INF,INF,5.05,INF,1.85,INF,INF,INF,INF,,INF,INF,INF,4.63,INF,INF,INF,INF,INF,INF,INF,INF,INF,5.21,INF,INF,0.54,INF,INF,1.67,2.31,0.80,0.65,INF,INF,0.62,INF,0.49,0.46,INF,INF,INF,INF,INF,0.85
15,INF,INF,INF,1.28,6.94,4.17,2.56,INF,INF,INF,INF,0.69,INF,0.51,INF,,7.94,INF,INF,4.17,INF,INF,2.78,6.17,1.26,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,6.94,INF,INF,INF,INF,3.47,INF,INF,INF,4.63,INF
16,5.95,11.11,5.56,8.33,13.89,0.79,0.71,INF,8.33,11.11,2.08,4.63,INF,20.83,INF,11.11,,INF,1.85,INF,0.85,2.98,1.98,1.08,27.78,8.33,0.87,INF,2.31,INF,9.26,INF,INF,6.94,INF,INF,INF,5.56,INF,0.44,INF,1.85,INF,INF,8.33,5.21,INF,INF,10.42,INF
17,1.17,INF,5.56,INF,INF,INF,INF,INF,2.16,INF,0.93,INF,0.95,INF,INF,INF,INF,,INF,INF,11.90,INF,INF,INF,INF,INF,INF,INF,18.52,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.04,INF,0.49,INF,INF
18,13.89,1.07,2.98,INF,INF,4.76,6.67,INF,5.95,2.16,4.17,INF,INF,INF,8.33,INF,1.67,INF,,INF,0.65,4.63,6.67,3.47,INF,3.97,1.67,INF,0.42,INF,6.67,11.11,INF,11.11,9.26,INF,INF,0.85,INF,8.33,6.94,4.76,13.89,3.47,INF,4.63,INF,INF,INF,INF
19,INF,INF,INF,0.52,0.54,3.70,3.70,INF,INF,INF,INF,INF,INF,2.08,INF,5.95,INF,INF,INF,,INF,2.65,1.68,1.52,1.17,2.38,2.65,INF,INF,2.31,2.16,INF,4.63,INF,INF,INF,INF,INF,INF,INF,INF,2.65,INF,INF,0.46,INF,INF,INF,0.61,INF
20,2.38,6.94,2.65,INF,INF,2.78,3.40,INF,4.63,2.78,1.52,INF,8.33,INF,INF,INF,0.79,20.83,0.61,INF,,5.95,6.94,4.17,INF,11.11,1.60,INF,0.71,INF,INF,INF,INF,4.76,20.83,INF,INF,4.63,INF,1.07,18.52,5.56,INF,INF,INF,1.89,INF,INF,INF,INF
21,INF,13.89,INF,13.89,4.17,5.56,6.94,2.60,INF,INF,INF,INF,INF,INF,INF,INF,3.97,INF,3.97,3.97,8.33,,5.21,0.75,83.33,0.58,0.55,8.33,4.63,INF,0.65,INF,5.56,INF,INF,3.09,INF,INF,3.70,13.89,INF,0.49,INF,INF,2.98,INF,3.33,INF,3.40,INF
22,INF,INF,INF,1.42,1.98,0.80,0.71,INF,INF,INF,3.97,1.74,INF,1.74,INF,3.33,1.54,INF,4.76,1.52,5.56,2.08,,0.46,2.65,2.38,1.39,INF,INF,2.38,4.17,INF,INF,INF,INF,INF,INF,INF,INF,1.98,INF,1.85,INF,INF,1.52,INF,INF,INF,1.42,INF
23,INF,INF,INF,2.65,3.40,1.17,1.11,INF,INF,INF,INF,5.56,INF,20.83,INF,18.52,1.38,INF,4.17,2.78,5.56,0.92,0.63,,11.11,1.08,0.55,INF,5.56,11.11,1.89,INF,INF,INF,INF,INF,INF,INF,INF,2.38,INF,0.99,INF,INF,2.08,INF,INF,INF,2.31,INF
24,INF,INF,INF,0.62,1.07,8.33,4.27,INF,INF,INF,INF,5.21,INF,0.92,INF,1.16,10.42,INF,INF,0.85,INF,9.26,1.83,3.03,,13.89,INF,INF,INF,1.28,20.83,INF,INF,INF,INF,INF,INF,INF,INF,13.89,INF,9.26,INF,INF,0.79,INF,INF,INF,0.79,INF
25,INF,INF,INF,6.94,3.33,6.94,20.83,3.97,INF,INF,INF,INF,INF,INF,INF,INF,16.67,INF,5.95,4.17,33.33,0.65,4.17,0.95,83.33,,1.49,5.56,INF,INF,0.75,INF,3.97,INF,INF,INF,INF,INF,4.17,INF,INF,0.75,INF,INF,2.78,INF,3.47,INF,4.17,INF
26,INF,4.76,INF,11.90,6.94,1.07,2.06,3.97,INF,INF,6.67,INF,INF,INF,INF,INF,0.93,INF,1.85,2.98,1.74,0.58,1.52,0.49,INF,1.32,,INF,3.47,INF,1.38,INF,INF,INF,INF,INF,INF,5.21,INF,1.07,13.89,0.54,INF,INF,3.33,INF,INF,INF,7.94,INF
27,INF,INF,INF,INF,INF,INF,INF,0.99,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,2.53,INF,,INF,INF,0.80,INF,0.65,INF,INF,1.23,INF,INF,0.42,INF,INF,3.70,INF,INF,INF,INF,0.61,INF,INF,INF
28,3.97,2.65,1.28,INF,INF,11.90,20.83,INF,4.17,0.84,2.98,INF,13.89,INF,20.83,INF,2.65,83.33,0.49,INF,0.85,6.94,INF,4.63,INF,INF,4.17,INF,,INF,INF,11.11,INF,5.56,6.94,INF,INF,1.28,INF,18.52,8.33,10.42,41.67,4.63,INF,3.09,INF,INF,INF,INF
29,INF,INF,INF,1.32,2.98,3.70,2.14,INF,INF,INF,INF,1.39,INF,0.46,INF,0.51,INF,INF,INF,1.74,INF,INF,2.16,4.17,1.42,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.60,INF,INF,INF,1.89,INF
30,INF,INF,INF,6.94,1.85,4.63,INF,0.93,INF,INF,INF,INF,INF,INF,INF,INF,5.56,INF,4.76,2.38,INF,0.58,5.56,1.26,166.67,0.61,1.17,0.92,INF,INF,,INF,1.23,INF,INF,1.38,INF,INF,1.40,11.11,INF,0.58,INF,INF,1.67,INF,1.23,INF,2.16,INF
31,INF,1.85,2.16,INF,INF,INF,INF,INF,INF,1.85,INF,INF,INF,INF,0.62,INF,INF,INF,6.94,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.76,INF,INF,,INF,INF,0.99,3.70,0.61,0.92,INF,INF,0.93,INF,0.44,0.58,INF,INF,INF,INF,INF,0.69
32,INF,INF,INF,INF,2.78,INF,INF,3.79,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.47,INF,4.27,INF,INF,INF,2.53,INF,0.58,INF,INF,1.09,INF,,INF,INF,INF,INF,INF,0.54,INF,INF,10.42,INF,INF,1.98,INF,0.92,INF,4.76,INF
33,0.85,INF,1.89,INF,INF,INF,9.26,INF,1.07,4.63,0.79,INF,0.80,INF,INF,INF,4.63,0.58,6.67,INF,3.70,INF,INF,INF,INF,INF,INF,INF,3.09,INF,INF,INF,INF,,INF,INF,INF,INF,INF,11.11,INF,INF,INF,INF,INF,0.80,INF,0.58,INF,INF
34,13.89,3.97,0.80,INF,INF,INF,INF,INF,2.38,0.67,INF,INF,5.95,INF,2.38,INF,INF,INF,6.94,INF,16.67,INF,INF,INF,INF,INF,INF,INF,4.63,INF,INF,1.16,INF,INF,,INF,1.07,1.54,INF,INF,1.68,INF,1.26,1.32,INF,6.94,INF,INF,INF,1.38
35,INF,4.17,INF,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,4.17,INF,INF,INF,INF,INF,INF,4.63,INF,INF,INF,INF,INF,1.85,INF,INF,1.89,5.56,INF,INF,INF,,INF,3.47,2.31,INF,5.21,8.33,3.97,2.16,INF,INF,0.62,INF,INF,INF
36,INF,5.95,5.05,INF,INF,INF,INF,INF,INF,3.70,INF,INF,INF,INF,0.95,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.58,INF,INF,0.93,INF,,1.98,INF,INF,1.42,INF,0.65,0.82,INF,INF,INF,INF,INF,0.49
37,INF,0.61,2.16,INF,INF,INF,INF,5.56,8.33,0.87,INF,INF,INF,INF,0.95,INF,9.26,INF,0.99,INF,6.94,INF,INF,INF,INF,INF,6.94,INF,1.07,INF,INF,1.17,INF,INF,1.85,3.97,3.47,,INF,INF,0.74,27.78,0.99,0.70,INF,13.89,INF,INF,INF,2.38
38,INF,INF,INF,INF,INF,INF,INF,1.42,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,3.03,INF,0.46,INF,INF,1.63,INF,0.65,INF,INF,1.74,INF,INF,,INF,INF,4.63,INF,INF,INF,INF,0.58,INF,INF,INF
39,10.42,INF,13.89,4.63,13.89,0.74,0.58,INF,20.83,INF,2.16,2.38,INF,20.83,INF,8.33,0.42,INF,5.95,INF,0.99,5.95,2.31,1.70,41.67,20.83,0.93,INF,6.94,INF,16.67,INF,INF,8.33,INF,INF,INF,INF,INF,,INF,3.47,INF,INF,8.33,13.89,INF,INF,10.42,INF
40,INF,0.69,2.31,INF,INF,INF,INF,4.17,13.89,1.01,INF,INF,INF,INF,0.66,INF,INF,INF,4.17,INF,11.11,INF,INF,INF,INF,INF,7.94,INF,3.79,INF,INF,0.79,INF,INF,1.38,2.60,1.28,0.55,INF,INF,,INF,0.65,0.82,INF,INF,INF,INF,INF,1.52
41,INF,INF,INF,9.26,3.97,2.98,3.47,3.40,INF,INF,INF,INF,INF,INF,INF,INF,2.06,INF,4.17,3.40,8.33,0.46,2.38,0.82,41.67,0.65,0.49,5.56,6.94,INF,0.70,INF,16.67,INF,INF,5.56,INF,13.89,5.95,4.63,INF,,INF,INF,3.40,INF,4.17,INF,4.17,INF
42,INF,1.52,3.33,INF,INF,INF,INF,INF,INF,2.78,INF,INF,INF,INF,0.58,INF,INF,INF,6.94,INF,INF,INF,INF,INF,INF,INF,INF,INF,5.95,INF,INF,0.49,INF,INF,1.39,2.65,0.74,0.85,INF,INF,0.74,INF,,0.52,INF,INF,INF,INF,INF,0.85
43,INF,0.85,2.31,INF,INF,INF,INF,1.98,INF,2.53,INF,INF,INF,INF,0.55,INF,INF,INF,2.60,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.65,INF,INF,0.65,INF,INF,1.42,1.68,0.93,0.61,INF,INF,0.99,INF,0.49,,INF,INF,INF,INF,INF,1.08
44,INF,INF,INF,0.64,0.52,4.63,4.17,INF,INF,INF,INF,5.56,INF,2.08,INF,4.63,6.67,INF,INF,0.49,INF,2.31,1.89,1.39,0.92,1.98,3.03,INF,INF,2.08,2.08,INF,2.38,INF,INF,INF,INF,INF,INF,10.42,INF,2.65,INF,INF,,INF,INF,INF,0.54,INF
45,0.46,INF,1.08,INF,INF,9.26,13.89,INF,0.54,2.16,0.74,INF,0.85,INF,INF,INF,6.94,1.19,3.97,INF,1.74,INF,INF,INF,INF,INF,INF,INF,2.31,INF,INF,INF,INF,0.85,8.33,INF,INF,8.33,INF,27.78,INF,INF,INF,INF,INF,,INF,1.16,INF,INF
46,INF,INF,INF,INF,INF,INF,INF,0.54,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,2.78,INF,0.75,INF,INF,1.59,INF,1.19,INF,INF,0.56,INF,INF,0.62,INF,INF,5.21,INF,INF,INF,INF,,INF,INF,INF
47,0.80,INF,2.08,INF,INF,INF,INF,INF,1.52,INF,1.08,INF,0.52,INF,INF,INF,INF,0.46,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.93,INF,,INF,INF
48,INF,INF,INF,0.60,0.63,3.70,3.79,INF,INF,INF,INF,3.97,INF,2.08,INF,5.95,8.33,INF,INF,0.58,INF,2.65,1.60,1.74,0.99,2.98,5.05,INF,INF,2.98,2.53,INF,5.56,INF,INF,INF,INF,INF,INF,13.89,INF,3.70,INF,INF,0.51,INF,INF,INF,,INF
49,INF,3.97,INF,INF,INF,INF,INF,INF,INF,2.98,INF,INF,INF,INF,1.01,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.62,INF,INF,1.17,INF,0.46,1.83,INF,INF,1.85,INF,0.70,0.89,INF,INF,INF,INF,INF,
