Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,0.67,1.52,INF,INF,0.61,1.38,INF,INF,INF,1.68,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
1,0.60,,0.68,1.67,INF,0.60,0.62,0.86,INF,INF,INF,1.19,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
2,1.20,0.60,,0.50,0.93,INF,0.67,0.45,0.67,INF,INF,INF,1.25,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
3,INF,1.43,0.56,,0.45,INF,INF,0.91,0.68,0.83,INF,INF,INF,1.98,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
4,INF,INF,1.49,0.55,,INF,INF,INF,0.68,0.49,INF,INF,INF,INF,1.43,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
5,0.74,0.67,INF,INF,INF,,0.78,0.96,INF,INF,0.67,0.86,INF,INF,INF,0.96,INF,INF,INF,INF,INF,INF,INF,INF,INF
6,1.09,0.56,0.60,INF,INF,0.49,,0.55,1.49,INF,0.83,0.67,0.86,INF,INF,INF,2.53,INF,INF,INF,INF,INF,INF,INF,INF
7,INF,1.07,0.62,1.11,INF,1.23,1.00,,0.62,0.95,INF,0.74,0.68,1.11,INF,INF,INF,1.87,INF,INF,INF,INF,INF,INF,INF
8,INF,INF,0.74,0.60,0.54,INF,2.00,0.45,,0.56,INF,INF,0.74,0.49,1.07,INF,INF,INF,1.33,INF,INF,INF,INF,INF,INF
9,INF,INF,INF,0.96,0.45,INF,INF,0.78,0.62,,INF,INF,INF,0.83,1.08,INF,INF,INF,INF,1.23,INF,INF,INF,INF,INF
10,1.87,INF,INF,INF,INF,0.55,1.25,INF,INF,INF,,0.42,1.11,INF,INF,0.54,0.60,INF,INF,INF,1.24,INF,INF,INF,INF
11,INF,1.33,INF,INF,INF,0.75,0.83,0.61,INF,INF,0.45,,0.75,3.79,INF,0.50,0.54,1.44,INF,INF,INF,1.67,INF,INF,INF
12,INF,INF,1.67,INF,INF,INF,1.07,0.45,0.61,INF,0.83,0.60,,0.74,5.95,INF,0.67,0.74,1.11,INF,INF,INF,1.67,INF,INF
13,INF,INF,INF,2.38,INF,INF,INF,0.91,0.55,0.74,INF,3.03,1.11,,1.43,INF,INF,2.53,1.25,1.49,INF,INF,INF,2.86,INF
14,INF,INF,INF,INF,0.86,INF,INF,INF,0.78,0.75,INF,INF,3.68,1.08,,INF,INF,INF,1.32,0.60,INF,INF,INF,INF,1.49
15,INF,INF,INF,INF,INF,0.83,INF,INF,INF,INF,0.61,0.56,INF,INF,INF,,0.75,3.33,INF,INF,0.86,0.75,INF,INF,INF
16,INF,INF,INF,INF,INF,INF,5.00,INF,INF,INF,0.67,0.50,0.86,INF,INF,0.60,,0.67,1.72,INF,1.08,0.75,0.83,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,1.52,INF,INF,INF,1.25,0.96,2.00,INF,2.00,0.60,,0.96,5.88,INF,0.68,0.86,1.11,INF
18,INF,INF,INF,INF,INF,INF,INF,INF,1.68,INF,INF,INF,2.22,1.07,2.00,INF,1.49,1.07,,0.83,INF,INF,1.72,0.61,0.60
19,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.96,INF,INF,INF,1.24,0.68,INF,INF,2.38,0.68,,INF,INF,INF,0.55,0.54
20,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.00,INF,INF,INF,INF,0.60,0.83,INF,INF,INF,,0.60,0.83,INF,INF
21,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.11,INF,INF,INF,0.60,0.67,0.60,INF,INF,0.75,,0.61,0.68,INF
22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.22,INF,INF,INF,0.67,0.75,1.19,INF,0.96,0.49,,0.67,1.32
23,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.72,INF,INF,INF,0.95,0.54,0.60,INF,0.78,0.74,,0.54
24,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,INF,0.91,0.91,INF,INF,2.00,0.78,
