Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,0.67,INF,INF,INF,0.61,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
1,0.60,,0.78,INF,INF,INF,1.08,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
2,INF,0.68,,0.50,INF,INF,INF,0.45,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
3,INF,INF,0.56,,0.50,INF,INF,INF,0.78,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
4,INF,INF,INF,0.60,,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
5,0.74,INF,INF,INF,INF,,0.78,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
6,INF,0.68,INF,INF,INF,0.54,,0.60,INF,INF,INF,0.75,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
7,INF,INF,0.62,INF,INF,INF,1.00,,0.62,INF,INF,INF,0.78,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
8,INF,INF,INF,0.68,INF,INF,INF,0.45,,0.62,INF,INF,INF,0.60,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
9,INF,INF,INF,INF,0.45,INF,INF,INF,0.72,,INF,INF,INF,INF,0.86,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
10,INF,INF,INF,INF,INF,0.55,INF,INF,INF,INF,,0.50,INF,INF,INF,0.54,INF,INF,INF,INF,INF,INF,INF,INF,INF
11,INF,INF,INF,INF,INF,INF,0.93,INF,INF,INF,0.56,,0.68,INF,INF,INF,0.54,INF,INF,INF,INF,INF,INF,INF,INF
12,INF,INF,INF,INF,INF,INF,INF,0.49,INF,INF,INF,0.54,,0.75,INF,INF,INF,0.95,INF,INF,INF,INF,INF,INF,INF
13,INF,INF,INF,INF,INF,INF,INF,INF,0.68,INF,INF,INF,1.19,,1.08,INF,INF,INF,1.89,INF,INF,INF,INF,INF,INF
14,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.60,INF,INF,INF,0.78,,INF,INF,INF,INF,0.62,INF,INF,INF,INF,INF
15,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.61,INF,INF,INF,INF,,0.83,INF,INF,INF,0.86,INF,INF,INF,INF
16,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.50,INF,INF,INF,0.67,,0.83,INF,INF,INF,0.75,INF,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.32,INF,INF,INF,0.75,,1.32,INF,INF,INF,0.68,INF,INF
18,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.49,INF,INF,INF,1.49,,0.93,INF,INF,INF,0.67,INF
19,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.72,INF,INF,INF,0.75,,INF,INF,INF,INF,0.49
20,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.60,INF,INF,INF,INF,,0.60,INF,INF,INF
21,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.67,INF,INF,INF,0.75,,0.61,INF,INF
22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.60,INF,INF,INF,0.49,,0.67,INF
23,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.60,INF,INF,INF,0.74,,0.54
24,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.78,INF,INF,INF,0.78,
