Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,4.90,INF,5.00,INF,6.67,3.33,2.00,INF,5.88,0.96,2.16,INF,INF,INF,0.62,INF,INF,1.19,1.43,INF,1.25,INF,31.25,INF,INF,1.49,INF,INF,INF,INF,0.83,INF,5.00,INF,5.05,INF,INF,4.90,1.67,INF,5.88,3.79,INF,INF,12.50,INF,INF,4.00,0.67
1,2.00,,INF,0.55,INF,INF,3.97,3.97,1.72,2.98,1.23,INF,INF,INF,INF,7.58,INF,INF,1.49,2.50,INF,2.98,INF,INF,2.50,INF,0.75,INF,62.50,INF,INF,5.00,INF,5.05,INF,2.87,INF,INF,INF,3.33,3.79,INF,0.61,INF,INF,0.68,INF,INF,1.23,INF
2,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.75,INF,INF,INF,0.83,INF,INF,INF,0.61,INF,INF,INF,INF,1.08,INF,INF,8.93,0.96,5.88,INF,12.50,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.20,INF,INF,4.20,INF,INF,INF
3,3.03,0.67,INF,,INF,INF,INF,INF,0.67,7.35,5.88,INF,INF,INF,INF,14.71,INF,INF,15.62,INF,INF,INF,INF,INF,0.93,INF,1.25,INF,31.25,INF,2.50,INF,5.00,9.80,INF,INF,INF,INF,INF,INF,1.23,INF,0.55,INF,INF,0.50,3.33,INF,0.83,INF
4,INF,INF,INF,INF,,1.70,1.89,2.16,INF,2.53,INF,6.67,INF,0.75,20.83,7.35,3.79,1.07,INF,INF,5.00,2.53,0.45,0.96,INF,INF,INF,2.86,10.00,3.97,INF,INF,INF,3.03,INF,INF,3.33,INF,0.60,INF,INF,1.25,INF,0.68,0.60,INF,INF,INF,INF,INF
5,4.00,INF,INF,INF,2.38,,4.20,7.81,INF,5.88,INF,2.86,INF,1.24,1.32,4.90,INF,7.35,INF,4.90,INF,2.98,5.88,5.88,INF,INF,INF,0.91,INF,INF,INF,INF,INF,INF,1.87,INF,5.00,1.98,0.86,INF,INF,2.16,INF,INF,3.33,INF,INF,6.67,INF,5.88
6,2.00,5.88,INF,INF,1.49,1.72,,0.50,INF,0.56,6.67,1.43,INF,2.87,6.67,1.08,5.00,10.00,7.35,3.79,INF,0.55,1.72,0.67,INF,INF,7.58,2.38,INF,6.67,INF,7.58,INF,1.98,INF,INF,INF,INF,0.83,INF,INF,0.68,6.67,3.33,2.00,7.35,INF,INF,10.00,1.98
7,0.86,5.88,INF,INF,2.50,1.49,0.54,,INF,1.23,1.24,0.45,INF,4.31,5.05,0.68,INF,INF,3.79,2.00,INF,0.42,3.33,0.93,INF,INF,5.00,2.00,62.50,INF,INF,2.01,INF,1.44,INF,INF,INF,3.97,0.96,INF,INF,1.11,5.00,INF,INF,5.00,INF,INF,5.05,0.83
8,INF,2.86,INF,0.96,INF,INF,INF,INF,,INF,INF,INF,2.16,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.50,3.03,5.00,INF,2.50,2.53,0.93,INF,0.83,10.00,INF,INF,INF,INF,INF,INF,0.56,INF,2.86,INF,INF,2.16,1.08,INF,0.60,INF
9,2.98,4.00,INF,3.79,2.00,3.97,0.62,1.70,INF,,5.05,10.00,INF,5.95,INF,1.98,1.25,INF,6.67,INF,INF,1.08,2.98,0.83,INF,INF,3.97,14.71,2.98,2.87,INF,15.15,62.50,1.49,INF,INF,INF,INF,1.98,INF,INF,1.67,5.05,2.98,5.95,4.00,4.00,INF,3.79,3.97
10,0.61,1.08,INF,2.98,INF,6.67,5.00,1.49,INF,4.00,,3.33,INF,INF,INF,0.78,INF,INF,0.67,1.23,INF,1.67,INF,29.41,INF,INF,0.75,INF,62.50,INF,INF,1.49,INF,5.05,INF,1.87,INF,INF,INF,1.07,INF,5.00,2.38,INF,INF,4.00,INF,INF,3.03,1.00
11,1.08,INF,INF,INF,5.00,1.44,1.23,0.50,INF,4.90,4.90,,INF,10.00,3.03,1.08,INF,INF,10.42,1.23,INF,0.93,20.83,7.58,INF,INF,29.41,2.53,INF,INF,INF,1.44,INF,7.35,6.67,INF,INF,9.80,1.89,4.31,INF,1.72,7.35,INF,INF,15.62,INF,INF,INF,0.68
12,INF,INF,0.67,INF,INF,INF,INF,INF,1.44,INF,INF,INF,,INF,INF,INF,0.93,INF,INF,INF,2.50,INF,INF,INF,1.24,0.49,INF,INF,2.86,0.67,0.74,INF,0.86,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.25,INF,3.79,INF
13,INF,INF,INF,INF,1.00,1.49,8.93,INF,INF,INF,INF,INF,INF,,20.83,INF,INF,0.78,INF,INF,INF,15.62,1.32,2.50,INF,INF,INF,2.22,INF,INF,INF,INF,INF,INF,6.67,INF,1.89,12.50,0.55,INF,INF,2.16,INF,1.43,1.11,INF,INF,5.00,INF,INF
14,INF,INF,INF,INF,5.00,0.74,4.00,2.86,INF,INF,INF,3.79,INF,5.00,,INF,INF,5.00,INF,2.53,INF,5.00,6.67,9.80,INF,INF,INF,0.83,INF,INF,INF,20.00,INF,INF,0.68,INF,5.00,0.42,2.50,INF,INF,5.00,INF,INF,INF,INF,INF,1.67,INF,2.53
15,0.50,4.90,INF,7.35,3.79,2.50,1.43,0.91,INF,1.25,0.95,1.43,INF,7.58,INF,,INF,INF,1.98,2.00,INF,0.61,5.05,3.33,INF,INF,1.07,5.05,INF,INF,INF,3.97,INF,0.83,INF,INF,INF,INF,1.43,INF,INF,1.72,7.35,INF,INF,5.88,INF,INF,12.50,0.96
16,INF,INF,0.74,INF,3.03,INF,20.83,INF,INF,1.67,INF,INF,1.25,INF,INF,INF,,INF,INF,INF,1.67,6.67,4.00,7.35,INF,2.00,INF,INF,1.11,0.60,3.79,INF,2.86,5.00,INF,INF,INF,INF,INF,INF,INF,3.79,INF,1.98,INF,INF,3.33,INF,2.50,INF
17,INF,INF,INF,INF,0.96,2.53,4.90,INF,INF,INF,INF,INF,INF,0.54,6.67,INF,INF,,INF,INF,INF,INF,1.00,3.33,INF,INF,INF,1.49,INF,INF,INF,INF,INF,INF,3.97,INF,0.42,3.03,0.83,INF,INF,3.79,INF,1.70,0.50,INF,INF,1.98,INF,INF
18,0.67,0.93,INF,3.03,INF,INF,3.79,2.53,INF,5.00,0.50,3.33,INF,INF,INF,1.43,INF,INF,,0.95,INF,3.03,INF,INF,INF,INF,0.93,INF,INF,INF,INF,1.11,INF,10.00,INF,1.11,INF,INF,INF,0.95,INF,INF,3.03,INF,INF,3.03,INF,INF,4.00,0.75
19,1.08,3.33,INF,INF,INF,3.33,5.00,2.53,INF,INF,1.43,1.43,INF,INF,5.00,2.53,INF,INF,1.32,,INF,5.05,INF,INF,INF,INF,7.58,INF,INF,INF,INF,0.68,INF,14.71,INF,0.75,INF,3.79,INF,0.45,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.42
20,INF,INF,0.45,INF,2.53,INF,INF,INF,INF,INF,INF,INF,1.89,INF,INF,INF,1.11,INF,INF,INF,,INF,1.98,INF,INF,3.03,INF,INF,INF,1.70,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.78,1.72,INF,INF,INF,INF,INF
21,1.07,5.88,INF,INF,5.00,4.00,0.75,0.56,INF,1.43,2.53,1.49,INF,7.58,20.83,0.74,9.80,INF,7.35,7.35,INF,,6.67,2.38,INF,INF,6.67,20.83,INF,INF,INF,3.97,INF,2.16,INF,INF,INF,INF,1.70,INF,INF,1.67,5.00,INF,INF,12.50,INF,INF,6.67,1.32
22,INF,INF,INF,INF,0.42,1.98,1.49,4.90,INF,2.53,INF,29.41,INF,0.83,20.83,7.35,2.38,1.11,INF,INF,3.03,3.33,,0.74,INF,INF,INF,2.98,14.71,6.67,INF,INF,INF,7.35,INF,INF,4.31,INF,0.83,INF,INF,1.25,INF,0.62,0.50,INF,INF,INF,INF,INF
23,7.35,INF,INF,INF,0.83,1.98,0.60,1.08,INF,0.74,20.83,15.62,INF,1.24,14.71,10.42,3.03,2.50,INF,INF,INF,1.49,0.83,,INF,INF,62.50,3.03,20.83,6.67,INF,INF,INF,3.33,INF,INF,5.95,INF,0.75,INF,INF,0.45,INF,1.43,2.00,INF,INF,INF,INF,9.80
24,INF,3.33,INF,1.08,INF,INF,INF,INF,0.42,INF,INF,INF,1.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,2.38,INF,INF,2.50,2.53,0.93,INF,0.75,INF,INF,INF,INF,INF,INF,INF,0.74,INF,3.33,INF,INF,2.16,0.83,INF,0.67,INF
25,INF,INF,0.93,INF,INF,INF,INF,INF,1.98,INF,INF,INF,0.55,INF,INF,INF,1.49,INF,INF,INF,3.79,INF,INF,INF,1.98,,INF,INF,2.16,0.68,0.83,INF,1.00,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.11,INF,2.38,INF
