Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
26,1.07,0.93,INF,1.67,INF,INF,15.62,10.42,3.03,5.88,0.93,INF,INF,INF,INF,1.25,INF,INF,1.25,15.62,INF,5.00,INF,INF,INF,INF,,INF,INF,INF,INF,6.67,INF,0.93,INF,6.67,INF,INF,INF,31.25,5.00,INF,0.61,INF,INF,1.07,INF,INF,1.07,8.93
27,INF,INF,INF,INF,1.44,0.54,1.98,1.70,INF,5.88,INF,2.00,INF,0.95,0.93,3.33,INF,1.07,INF,INF,INF,5.00,2.53,2.38,INF,INF,INF,,INF,INF,INF,20.00,INF,INF,1.33,INF,1.72,0.95,0.74,INF,INF,1.67,INF,4.00,1.67,INF,INF,1.67,INF,3.03
28,INF,10.42,2.87,7.35,5.88,INF,20.83,15.62,1.49,1.89,20.83,INF,2.16,INF,INF,62.50,0.83,INF,INF,INF,INF,15.62,9.80,6.67,1.87,1.72,31.25,INF,,0.68,1.72,INF,0.96,7.35,INF,INF,INF,INF,INF,INF,14.71,INF,9.80,INF,INF,5.88,3.33,INF,1.07,INF
29,INF,INF,0.83,INF,12.50,INF,INF,INF,2.98,8.93,INF,INF,0.75,INF,INF,INF,0.67,INF,INF,INF,2.38,INF,20.83,20.83,2.98,0.75,INF,INF,0.91,,1.67,INF,1.19,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,2.50,INF,2.98,INF
30,INF,INF,2.98,3.33,INF,INF,INF,INF,0.68,INF,INF,INF,0.67,INF,INF,INF,2.53,INF,INF,INF,INF,INF,INF,INF,0.75,0.74,INF,INF,1.49,1.25,,INF,0.60,INF,INF,INF,INF,INF,INF,INF,4.00,INF,6.67,INF,INF,12.50,0.68,INF,1.43,INF
31,0.68,10.42,INF,INF,INF,15.62,5.88,2.94,INF,12.50,1.89,1.70,INF,INF,INF,2.86,INF,INF,2.22,0.60,INF,2.50,INF,INF,INF,INF,5.00,15.62,INF,INF,INF,,INF,9.80,INF,2.98,INF,INF,INF,0.67,INF,15.62,7.35,INF,INF,15.62,INF,INF,INF,0.50
32,INF,INF,2.98,3.03,INF,INF,INF,INF,0.61,15.62,INF,INF,0.67,INF,INF,INF,1.44,INF,INF,INF,INF,INF,INF,INF,0.67,0.75,INF,INF,0.74,0.75,0.55,INF,,20.83,INF,INF,INF,INF,INF,INF,2.50,INF,3.79,INF,INF,3.03,0.74,INF,1.08,INF
33,2.53,3.33,INF,5.00,3.79,7.58,1.67,1.25,5.88,1.07,3.33,10.00,INF,INF,INF,0.68,2.53,INF,INF,9.80,INF,1.44,5.05,3.97,INF,INF,0.62,INF,31.25,5.05,INF,6.67,62.50,,INF,INF,INF,INF,INF,INF,7.35,2.98,1.98,INF,INF,1.98,5.88,INF,2.16,2.86
34,INF,INF,INF,INF,INF,1.68,INF,INF,INF,INF,INF,20.83,INF,5.00,1.08,INF,INF,12.50,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.22,INF,INF,INF,INF,INF,INF,,INF,4.00,1.00,8.93,INF,INF,15.62,INF,INF,INF,INF,INF,0.68,INF,5.88
35,3.33,8.93,INF,INF,INF,INF,INF,INF,INF,INF,3.68,INF,INF,INF,INF,INF,INF,INF,2.22,0.86,INF,INF,INF,INF,INF,INF,9.80,INF,INF,INF,INF,5.88,INF,INF,INF,,INF,INF,INF,0.68,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.00
36,INF,INF,INF,INF,2.86,2.53,INF,INF,INF,INF,INF,INF,INF,1.07,6.67,INF,INF,0.45,INF,INF,INF,INF,8.93,12.50,INF,INF,INF,2.86,INF,INF,INF,INF,INF,INF,2.98,INF,,4.00,1.70,INF,INF,7.35,INF,2.86,0.67,INF,INF,1.44,INF,INF
37,INF,INF,INF,INF,INF,1.11,INF,2.86,INF,INF,INF,5.00,INF,3.97,0.45,INF,INF,3.79,INF,2.53,INF,INF,INF,INF,INF,INF,INF,1.11,INF,INF,INF,20.00,INF,INF,0.67,INF,2.98,,2.53,INF,INF,5.00,INF,INF,INF,INF,INF,1.72,INF,1.98
38,3.33,INF,INF,INF,0.78,0.75,1.25,1.70,INF,3.03,INF,3.79,INF,0.49,5.05,1.98,INF,1.11,INF,INF,INF,1.44,1.11,1.49,INF,INF,INF,1.11,INF,INF,INF,INF,INF,INF,4.31,INF,2.38,3.79,,INF,INF,0.83,INF,1.23,1.08,INF,INF,6.67,INF,2.98
39,1.25,4.90,INF,INF,INF,INF,INF,INF,INF,INF,1.25,8.93,INF,INF,INF,INF,INF,INF,1.32,0.42,INF,INF,INF,INF,INF,INF,14.71,INF,INF,INF,INF,0.75,INF,INF,INF,0.54,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.61
40,INF,1.89,INF,0.96,INF,INF,INF,INF,0.42,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.67,INF,2.53,INF,31.25,INF,1.98,INF,2.16,10.00,INF,INF,INF,INF,INF,INF,,INF,1.89,INF,INF,1.89,1.70,INF,1.49,INF
41,2.98,INF,INF,INF,1.07,1.23,0.78,1.32,INF,1.98,6.67,2.16,INF,1.44,20.83,2.16,5.00,5.00,INF,INF,INF,1.25,1.67,0.56,INF,INF,15.15,3.27,INF,INF,INF,62.50,INF,5.88,20.00,INF,10.00,20.83,0.68,INF,INF,,INF,3.03,2.53,INF,INF,INF,INF,3.03
42,3.03,0.83,INF,0.75,INF,INF,9.80,9.80,1.72,7.35,4.00,14.71,INF,INF,INF,31.25,INF,INF,15.62,INF,INF,3.79,INF,INF,2.50,INF,0.67,INF,INF,INF,9.80,14.71,7.35,5.88,INF,INF,INF,INF,INF,INF,2.98,INF,,INF,INF,0.50,4.90,INF,0.86,4.00
43,INF,INF,5.00,INF,1.08,INF,INF,INF,INF,12.50,INF,INF,INF,1.67,INF,INF,3.03,3.03,INF,INF,1.07,INF,0.99,2.53,INF,INF,INF,20.83,INF,5.00,INF,INF,INF,INF,INF,INF,5.05,INF,1.70,INF,INF,7.35,INF,,0.78,INF,INF,INF,INF,INF
44,INF,INF,INF,INF,0.86,2.50,3.33,INF,INF,12.50,INF,INF,INF,0.95,INF,INF,INF,0.72,INF,INF,2.86,INF,0.72,4.90,INF,INF,INF,4.90,INF,INF,INF,INF,INF,INF,INF,INF,1.00,INF,1.23,INF,INF,5.00,INF,0.60,,INF,INF,14.71,INF,INF
45,2.38,0.75,INF,0.54,INF,INF,5.05,3.79,1.44,2.98,2.38,7.58,INF,INF,INF,7.58,INF,INF,3.79,INF,INF,3.97,INF,INF,1.72,INF,0.96,INF,31.25,3.97,3.97,7.58,3.79,2.38,INF,INF,INF,INF,INF,INF,2.50,INF,0.42,INF,INF,,2.53,INF,0.62,INF
46,INF,INF,2.16,1.43,INF,INF,INF,INF,0.68,2.98,INF,INF,0.83,INF,INF,INF,1.67,INF,INF,INF,INF,INF,INF,INF,0.61,0.83,INF,INF,1.25,1.24,0.49,INF,0.67,3.97,INF,INF,INF,INF,INF,INF,2.00,INF,2.50,INF,INF,2.00,,INF,1.11,INF
47,INF,INF,INF,INF,INF,2.50,INF,INF,INF,INF,INF,INF,INF,2.53,1.43,INF,INF,1.25,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.43,INF,INF,INF,INF,INF,INF,0.49,INF,1.11,1.49,3.33,INF,INF,INF,INF,INF,4.90,INF,INF,,INF,INF
48,2.98,2.16,INF,1.32,INF,INF,INF,15.62,0.78,7.35,5.00,INF,7.35,INF,INF,29.41,4.90,INF,9.80,INF,INF,9.80,INF,INF,0.86,4.00,1.49,INF,1.49,5.88,1.98,INF,1.70,5.00,INF,INF,INF,INF,INF,INF,2.38,INF,1.19,INF,INF,0.83,3.33,INF,,INF
49,0.60,INF,INF,INF,INF,2.98,2.38,1.08,INF,5.88,1.44,0.93,INF,INF,7.35,1.23,INF,INF,1.25,0.45,INF,1.11,INF,14.71,INF,INF,10.00,5.00,INF,INF,INF,0.67,INF,3.97,3.97,2.22,INF,4.00,2.53,0.67,INF,3.79,2.98,INF,INF,INF,INF,INF,INF,
