Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
31,INF,1.67,2.53,INF,INF,INF,INF,INF,INF,1.68,INF,INF,INF,INF,0.66,INF,INF,INF,9.26,INF,INF,INF,INF,INF,INF,INF,INF,INF,6.17,INF,INF,,INF,INF,1.08,6.17,0.58,0.99,INF,INF,1.08,INF,0.44,0.63,INF,INF,INF,INF,INF,0.65
32,INF,INF,INF,INF,2.53,INF,INF,1.98,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.47,INF,3.21,INF,INF,INF,2.14,INF,0.49,INF,INF,1.09,INF,,INF,INF,INF,INF,INF,0.51,INF,INF,8.33,INF,INF,3.03,INF,0.80,INF,5.56,INF
33,0.75,INF,1.52,INF,INF,INF,10.42,INF,0.80,5.56,0.69,INF,0.61,INF,INF,INF,5.05,0.58,7.94,INF,3.70,INF,INF,INF,INF,INF,INF,INF,3.70,INF,INF,INF,INF,,INF,INF,INF,INF,INF,11.90,INF,INF,INF,INF,INF,0.58,INF,0.61,INF,INF
34,20.83,3.47,0.89,INF,INF,INF,INF,INF,2.38,0.80,INF,INF,4.76,INF,2.16,INF,INF,INF,4.63,INF,13.89,INF,INF,INF,INF,INF,INF,INF,3.03,INF,INF,1.26,INF,INF,,INF,1.17,1.54,INF,INF,1.85,INF,1.26,1.39,INF,4.17,INF,INF,INF,1.38
35,INF,3.70,INF,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,3.47,INF,INF,INF,INF,INF,INF,5.21,INF,INF,INF,INF,INF,1.26,INF,INF,2.38,9.26,INF,INF,INF,,INF,2.65,2.53,INF,5.56,6.94,3.40,1.74,INF,INF,0.66,INF,INF,INF
36,INF,5.21,7.58,INF,INF,INF,INF,INF,INF,4.63,INF,INF,INF,INF,0.87,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.54,INF,INF,1.01,INF,,3.21,INF,INF,2.08,INF,0.58,0.77,INF,INF,INF,INF,INF,0.49
37,INF,0.65,2.78,INF,INF,INF,INF,4.63,11.11,0.89,INF,INF,INF,INF,1.01,INF,6.94,INF,0.93,INF,4.76,INF,INF,INF,INF,INF,7.94,INF,1.07,INF,INF,1.26,INF,INF,1.85,2.98,5.95,,INF,INF,0.74,20.83,0.92,0.66,INF,11.11,INF,INF,INF,2.78
38,INF,INF,INF,INF,INF,INF,INF,1.23,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.27,INF,INF,INF,4.63,INF,0.46,INF,INF,2.60,INF,0.62,INF,INF,1.85,INF,INF,,INF,INF,15.15,INF,INF,INF,INF,0.54,INF,INF,INF
39,4.76,INF,6.67,2.38,6.94,0.58,0.56,INF,11.11,INF,2.31,1.39,INF,10.42,INF,4.63,0.42,INF,2.60,INF,1.01,2.78,1.28,1.01,13.89,6.17,0.74,INF,3.97,INF,7.94,INF,INF,7.94,INF,INF,INF,INF,INF,,INF,1.89,INF,INF,3.70,6.94,INF,INF,6.17,INF
40,INF,0.74,2.78,INF,INF,INF,INF,4.63,27.78,1.04,INF,INF,INF,INF,0.75,INF,INF,INF,5.05,INF,11.90,INF,INF,INF,INF,INF,13.89,INF,4.63,INF,INF,0.92,INF,INF,1.52,3.09,1.85,0.55,INF,INF,,INF,0.70,0.84,INF,INF,INF,INF,INF,1.67
41,INF,33.33,INF,8.33,4.63,4.63,6.17,2.98,INF,INF,INF,INF,INF,INF,INF,INF,1.83,INF,5.21,4.63,13.89,0.46,3.47,0.70,166.67,0.70,0.49,4.17,8.33,INF,0.70,INF,11.90,INF,INF,4.63,INF,10.42,20.83,2.53,INF,,INF,INF,4.63,INF,4.63,INF,5.95,INF
42,INF,1.26,4.17,INF,INF,INF,INF,INF,INF,2.31,INF,INF,INF,INF,0.58,INF,INF,INF,9.26,INF,INF,INF,INF,INF,INF,INF,INF,INF,5.56,INF,INF,0.49,INF,INF,1.38,2.38,0.65,0.79,INF,INF,0.79,INF,,0.52,INF,INF,INF,INF,INF,0.74
43,INF,0.80,3.47,INF,INF,INF,INF,2.31,INF,2.38,INF,INF,INF,INF,0.55,INF,INF,INF,2.65,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.60,INF,INF,0.70,INF,INF,1.49,1.39,0.87,0.58,INF,INF,1.01,INF,0.49,,INF,INF,INF,INF,INF,1.23
44,INF,INF,INF,0.64,0.61,3.21,3.79,INF,INF,INF,INF,4.17,INF,1.85,INF,4.17,5.21,INF,INF,0.52,INF,1.89,1.85,1.19,0.99,1.54,3.33,INF,INF,3.09,2.98,INF,3.70,INF,INF,INF,INF,INF,INF,4.63,INF,3.47,INF,INF,,INF,INF,INF,0.54,INF
45,0.46,INF,0.92,INF,INF,11.11,10.42,INF,0.58,2.08,0.66,INF,0.74,INF,INF,INF,3.79,1.16,3.97,INF,1.89,INF,INF,INF,INF,INF,INF,INF,1.74,INF,INF,INF,INF,0.61,4.76,INF,INF,6.67,INF,13.89,INF,INF,INF,INF,INF,,INF,0.99,INF,INF
46,INF,INF,INF,INF,INF,INF,INF,0.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.21,INF,INF,INF,2.78,INF,0.63,INF,INF,2.78,INF,1.04,INF,INF,0.60,INF,INF,0.58,INF,INF,6.17,INF,INF,INF,INF,,INF,INF,INF
47,0.79,INF,2.31,INF,INF,INF,INF,INF,1.52,INF,1.08,INF,0.49,INF,INF,INF,INF,0.42,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.54,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.82,INF,,INF,INF
48,INF,INF,INF,0.60,0.71,3.21,3.79,INF,INF,INF,INF,3.40,INF,1.85,INF,4.17,6.94,INF,INF,0.65,INF,3.03,1.52,1.32,1.08,2.65,5.56,INF,INF,3.97,5.21,INF,6.67,INF,INF,INF,INF,INF,INF,9.26,INF,5.21,INF,INF,0.51,INF,INF,INF,,INF
49,INF,4.17,INF,INF,INF,INF,INF,INF,INF,2.98,INF,INF,INF,INF,1.01,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.58,INF,INF,1.17,INF,0.46,2.14,INF,INF,2.08,INF,0.62,1.03,INF,INF,INF,INF,INF,
