Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,2.86,INF,5.05,INF,2.53,2.86,1.19,INF,5.88,0.86,1.43,INF,INF,INF,0.56,INF,INF,1.19,1.23,INF,0.83,INF,14.71,INF,INF,1.32,INF,INF,INF,INF,0.74,INF,3.33,INF,5.00,INF,INF,6.67,1.72,INF,4.00,1.98,INF,INF,3.03,INF,INF,2.38,0.67
1,1.44,,INF,0.55,INF,INF,5.00,2.98,1.23,2.38,2.00,INF,INF,INF,INF,14.71,INF,INF,1.98,2.87,INF,2.50,INF,INF,2.87,INF,0.67,INF,7.58,INF,INF,2.87,INF,3.79,INF,4.31,INF,INF,INF,2.87,2.38,INF,0.61,INF,INF,0.78,INF,INF,1.08,INF
2,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.86,INF,INF,INF,0.83,INF,INF,INF,0.61,INF,INF,INF,INF,0.86,INF,INF,INF,1.00,5.88,INF,3.68,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.33,INF,INF,8.93,INF,INF,INF
3,3.33,0.67,INF,,INF,INF,INF,INF,0.55,5.88,3.79,INF,INF,INF,INF,31.25,INF,INF,5.00,INF,INF,INF,INF,INF,0.95,INF,0.93,INF,10.00,INF,5.00,INF,3.03,5.00,INF,INF,INF,INF,INF,INF,0.83,INF,0.55,INF,INF,0.50,2.53,INF,0.74,INF
4,INF,INF,INF,INF,,1.43,1.68,2.50,INF,2.16,INF,14.71,INF,0.60,7.35,15.62,2.98,1.24,INF,INF,5.00,2.16,0.45,0.67,INF,INF,INF,1.89,31.25,4.00,INF,INF,INF,20.83,INF,INF,1.87,INF,0.56,INF,INF,0.83,INF,0.60,0.54,INF,INF,INF,INF,INF
5,1.67,INF,INF,INF,1.98,,1.32,1.68,INF,12.50,INF,1.49,INF,0.93,1.43,2.53,INF,3.79,INF,1.43,INF,1.07,4.00,2.53,INF,INF,INF,0.91,INF,INF,INF,5.05,INF,INF,1.67,INF,3.97,2.00,0.86,62.50,INF,1.98,INF,INF,2.00,INF,INF,6.67,INF,2.00
6,1.72,10.42,INF,INF,1.33,0.83,,0.45,INF,0.54,10.00,0.95,INF,2.22,2.98,0.83,5.00,3.73,7.35,2.98,INF,0.54,1.49,0.60,INF,INF,3.79,1.87,31.25,7.35,INF,3.33,INF,1.70,INF,INF,INF,INF,0.67,INF,INF,0.68,9.80,2.22,1.87,20.83,INF,INF,9.80,1.72
7,0.67,2.53,INF,INF,1.87,0.83,0.49,,INF,1.24,1.33,0.45,INF,3.73,3.79,0.60,INF,INF,3.79,1.72,INF,0.42,2.49,0.95,INF,INF,2.16,2.16,7.58,INF,INF,1.20,INF,1.23,INF,INF,INF,10.00,1.07,20.00,INF,0.91,2.98,INF,INF,5.05,INF,INF,2.98,0.83
8,INF,1.70,INF,0.75,INF,INF,INF,INF,,INF,INF,INF,1.98,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.50,2.38,3.33,INF,1.68,2.53,0.93,INF,0.75,6.67,INF,INF,INF,INF,INF,INF,0.56,INF,1.70,INF,INF,1.32,1.08,INF,0.60,INF
9,2.98,1.98,INF,3.97,1.72,5.95,0.61,1.89,INF,,5.95,10.00,INF,5.95,INF,1.43,1.23,INF,9.80,INF,INF,1.07,2.50,0.93,INF,INF,1.49,INF,2.00,2.00,INF,20.00,62.50,0.96,INF,INF,INF,INF,1.98,INF,INF,1.67,2.16,3.33,5.95,2.38,3.79,INF,2.16,5.05
