Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,0.55,1.32,INF,2.16,INF,6.67,7.35,1.68,INF,4.90,,3.97,INF,INF,INF,0.83,INF,INF,0.74,1.23,INF,1.98,INF,INF,INF,INF,0.86,INF,14.71,INF,INF,0.93,INF,3.03,INF,2.16,INF,INF,INF,1.11,INF,14.71,1.49,INF,INF,3.03,INF,INF,3.03,1.00
11,0.86,INF,INF,INF,7.35,0.93,0.86,0.50,INF,5.88,5.88,,INF,7.58,1.98,0.96,INF,INF,8.93,1.08,INF,0.74,9.80,2.98,INF,INF,9.80,3.79,INF,INF,INF,1.44,INF,12.50,10.00,INF,INF,9.80,1.89,3.33,INF,1.72,12.50,INF,INF,20.83,INF,INF,INF,0.68
12,INF,INF,0.75,INF,INF,INF,INF,INF,1.43,INF,INF,INF,,INF,INF,INF,0.83,INF,INF,INF,2.50,INF,INF,INF,1.23,0.49,INF,INF,1.89,0.60,0.83,INF,1.00,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.32,INF,5.00,INF
13,INF,INF,INF,INF,0.78,1.08,3.27,7.81,INF,12.50,INF,15.62,INF,,4.00,15.62,INF,0.78,INF,INF,INF,8.93,1.25,1.89,INF,INF,INF,1.68,INF,INF,INF,INF,INF,INF,3.33,INF,1.32,7.35,0.55,INF,INF,1.23,INF,1.08,0.96,INF,INF,3.79,INF,INF
14,INF,INF,INF,INF,3.79,0.86,2.16,1.89,INF,INF,INF,1.67,INF,1.98,,INF,INF,2.98,INF,1.70,INF,2.86,7.35,4.00,INF,INF,INF,0.67,INF,INF,INF,5.05,INF,INF,0.68,INF,2.50,0.42,1.32,INF,INF,3.79,INF,INF,INF,INF,INF,1.44,INF,2.00
15,0.45,4.20,INF,9.80,7.58,1.67,1.08,0.78,INF,0.96,1.00,1.23,INF,7.58,INF,,INF,INF,1.72,1.72,INF,0.61,7.58,3.33,INF,INF,1.11,INF,31.25,INF,INF,2.00,INF,0.74,INF,INF,INF,INF,2.00,20.00,INF,1.49,4.90,INF,INF,7.35,INF,INF,12.50,0.83
16,INF,INF,0.74,INF,2.53,INF,20.83,INF,INF,1.70,INF,INF,1.11,INF,INF,INF,,INF,INF,INF,1.23,7.58,4.00,2.16,INF,1.67,INF,INF,1.32,0.60,6.67,INF,1.89,7.35,INF,INF,INF,INF,INF,INF,INF,5.05,INF,1.98,INF,INF,3.33,INF,5.95,INF
17,INF,INF,INF,INF,1.11,1.89,3.27,INF,INF,INF,INF,INF,INF,0.54,5.88,INF,INF,,INF,INF,INF,INF,1.43,2.16,INF,INF,INF,1.52,INF,INF,INF,INF,INF,INF,3.97,INF,0.42,3.79,0.96,INF,INF,3.79,INF,1.25,0.50,INF,INF,1.98,INF,INF
18,0.60,1.25,INF,2.16,INF,INF,3.79,2.16,INF,4.00,0.56,2.87,INF,INF,INF,1.32,INF,INF,,0.95,INF,2.53,INF,INF,INF,INF,0.96,INF,INF,INF,INF,0.95,INF,5.00,INF,1.00,INF,INF,INF,0.95,INF,INF,1.89,INF,INF,3.03,INF,INF,4.00,0.75
19,0.96,4.20,INF,INF,INF,1.08,4.00,2.16,INF,INF,1.43,1.23,INF,INF,3.03,2.16,INF,INF,1.32,,INF,2.53,INF,INF,INF,INF,5.00,INF,INF,INF,INF,0.68,INF,20.83,INF,0.67,INF,3.97,INF,0.45,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.45
20,INF,INF,0.45,INF,2.16,INF,INF,INF,INF,INF,INF,INF,1.89,INF,INF,INF,0.86,INF,INF,INF,,INF,2.53,INF,INF,2.86,INF,INF,INF,2.16,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.75,2.00,INF,INF,INF,INF,INF
21,0.74,3.33,INF,INF,3.79,1.25,0.78,0.56,INF,1.49,3.03,0.96,INF,4.31,9.80,0.74,15.62,INF,5.00,2.98,INF,,7.58,1.98,INF,INF,3.03,INF,INF,INF,INF,2.00,INF,2.50,INF,INF,INF,INF,1.44,INF,INF,1.44,5.88,INF,INF,9.80,INF,INF,9.80,0.93
22,INF,INF,INF,INF,0.42,1.70,1.32,3.68,INF,2.16,INF,14.71,INF,0.83,31.25,15.62,2.38,1.67,INF,INF,3.79,4.20,,0.75,INF,INF,INF,1.70,20.83,5.88,INF,INF,INF,INF,INF,INF,2.87,INF,0.93,INF,INF,1.25,INF,0.56,0.54,INF,INF,INF,INF,INF
23,7.35,INF,INF,INF,0.60,1.25,0.55,1.11,INF,0.83,INF,5.88,INF,1.07,9.80,10.42,1.72,2.50,INF,INF,INF,1.25,0.83,,INF,INF,INF,4.00,INF,15.62,INF,INF,INF,8.93,INF,INF,4.31,INF,0.67,INF,INF,0.45,INF,1.23,2.16,INF,INF,INF,INF,5.05
24,INF,4.20,INF,1.11,INF,INF,INF,INF,0.42,INF,INF,INF,1.43,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,1.67,INF,INF,2.22,2.53,0.93,INF,0.86,INF,INF,INF,INF,INF,INF,INF,0.67,INF,4.90,INF,INF,1.49,0.83,INF,0.60,INF
25,INF,INF,0.75,INF,INF,INF,INF,INF,1.70,INF,INF,INF,0.55,INF,INF,INF,1.25,INF,INF,INF,3.33,INF,INF,INF,1.43,,INF,INF,1.89,0.60,0.74,INF,0.86,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.25,INF,3.03,INF
26,0.95,0.83,INF,1.25,INF,INF,5.00,2.86,2.00,1.89,1.07,14.71,INF,INF,INF,1.32,INF,INF,1.43,6.67,INF,2.38,INF,INF,INF,INF,,INF,14.71,INF,INF,2.38,INF,0.93,INF,5.00,INF,INF,INF,5.05,5.00,14.71,0.61,INF,INF,1.07,INF,INF,0.93,3.03
27,INF,INF,INF,INF,1.07,0.54,1.68,1.89,INF,INF,INF,3.03,INF,0.83,0.75,INF,INF,1.00,INF,INF,INF,8.93,1.44,1.98,INF,INF,INF,,INF,INF,INF,20.83,INF,INF,1.33,INF,1.07,1.11,0.67,INF,INF,1.20,INF,2.50,1.72,INF,INF,1.72,INF,3.79
28,INF,4.20,3.73,5.88,9.80,INF,14.71,5.88,1.11,1.32,31.25,INF,1.49,INF,INF,INF,0.95,INF,INF,INF,INF,14.71,10.00,11.90,1.67,1.49,7.35,INF,,0.50,1.87,INF,0.83,4.00,INF,INF,INF,INF,INF,INF,6.67,20.83,4.00,INF,INF,2.86,2.53,INF,0.83,INF
29,INF,INF,0.86,INF,6.67,INF,31.25,INF,2.98,3.33,INF,INF,0.67,INF,INF,INF,0.67,INF,INF,INF,2.98,INF,10.00,INF,2.98,0.67,INF,INF,0.62,,1.44,INF,1.11,15.62,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.50,INF,4.20,1.89,INF,3.97,INF
30,INF,INF,2.98,3.68,INF,INF,INF,INF,0.68,INF,INF,INF,0.74,INF,INF,INF,3.33,INF,INF,INF,INF,INF,INF,INF,0.75,0.67,INF,INF,1.68,1.11,,INF,0.60,INF,INF,INF,INF,INF,INF,INF,4.00,INF,5.88,INF,INF,4.20,0.68,INF,1.32,INF
31,0.61,4.20,INF,INF,INF,2.50,2.86,1.52,INF,15.62,1.25,1.70,INF,INF,7.35,1.49,INF,INF,1.68,0.60,INF,1.32,INF,INF,INF,INF,1.98,INF,INF,INF,INF,,INF,5.88,INF,3.33,INF,14.71,INF,0.78,INF,7.35,5.88,INF,INF,7.35,INF,INF,INF,0.50
32,INF,INF,1.87,1.70,INF,INF,INF,INF,0.55,8.93,INF,INF,0.75,INF,INF,INF,1.24,INF,INF,INF,INF,INF,INF,INF,0.75,0.67,INF,INF,0.67,0.74,0.55,INF,,9.80,INF,INF,INF,INF,INF,INF,1.49,INF,2.38,INF,INF,1.70,0.74,INF,0.67,INF
33,1.67,2.16,INF,3.03,10.00,7.58,1.44,0.96,4.00,0.74,2.38,62.50,INF,INF,INF,0.61,3.79,INF,9.80,10.00,INF,1.49,15.15,4.31,INF,INF,0.62,INF,6.67,3.79,INF,3.97,14.71,,INF,INF,INF,INF,INF,29.41,5.00,3.33,1.11,INF,INF,1.43,5.88,INF,1.49,2.38
34,INF,INF,INF,INF,INF,1.52,INF,INF,INF,INF,INF,INF,INF,2.86,1.08,INF,INF,12.50,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.22,INF,INF,INF,INF,INF,INF,,INF,3.33,1.11,3.68,INF,INF,15.62,INF,INF,INF,INF,INF,0.68,INF,7.35
35,3.68,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.20,INF,INF,INF,INF,INF,INF,INF,1.52,0.75,INF,INF,INF,INF,INF,INF,10.42,INF,INF,INF,INF,10.42,INF,INF,INF,,INF,INF,INF,0.78,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.94
36,INF,INF,INF,INF,1.68,2.50,INF,INF,INF,INF,INF,INF,INF,0.83,3.33,INF,INF,0.45,INF,INF,INF,INF,4.20,8.93,INF,INF,INF,1.49,INF,INF,INF,INF,INF,INF,2.50,INF,,5.88,0.93,INF,INF,7.35,INF,1.89,0.60,INF,INF,1.44,INF,INF
37,INF,INF,INF,INF,INF,1.19,INF,7.81,INF,INF,INF,4.00,INF,3.79,0.45,INF,INF,5.00,INF,2.86,INF,INF,INF,INF,INF,INF,INF,1.32,INF,INF,INF,9.80,INF,INF,0.74,INF,3.97,,2.50,62.50,INF,7.35,INF,INF,INF,INF,INF,1.72,INF,4.00
38,5.00,INF,INF,INF,0.72,0.75,0.96,2.50,INF,3.03,INF,3.79,INF,0.49,2.38,3.33,INF,1.23,INF,INF,INF,1.25,1.25,1.11,INF,INF,INF,1.00,INF,INF,INF,INF,INF,INF,4.31,INF,1.25,5.05,,INF,INF,0.75,INF,0.93,0.83,INF,INF,2.98,INF,3.79
39,1.32,4.20,INF,INF,INF,12.50,INF,8.93,INF,INF,1.32,4.90,INF,INF,INF,8.93,INF,INF,1.32,0.42,INF,INF,INF,INF,INF,INF,4.00,INF,INF,INF,INF,0.91,INF,INF,INF,0.60,INF,31.25,INF,,INF,INF,5.88,INF,INF,INF,INF,INF,INF,0.78
40,INF,1.32,INF,0.67,INF,INF,INF,INF,0.42,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.61,INF,2.16,INF,5.00,INF,1.98,INF,1.32,6.67,INF,INF,INF,INF,INF,INF,,INF,1.32,INF,INF,1.32,2.53,INF,1.11,INF
41,2.38,INF,INF,INF,0.75,1.25,0.78,1.08,INF,1.98,31.25,2.16,INF,0.96,15.62,1.89,7.35,5.00,INF,INF,INF,1.11,1.67,0.56,INF,INF,9.80,2.00,62.50,INF,INF,31.25,INF,10.42,20.00,INF,10.00,31.25,0.62,INF,INF,,INF,3.03,3.03,INF,INF,INF,INF,3.79
42,1.67,0.83,INF,0.75,INF,INF,14.71,5.88,1.23,2.86,2.38,29.41,INF,INF,INF,31.25,INF,INF,5.00,INF,INF,3.97,INF,INF,3.33,INF,0.67,INF,6.67,INF,7.58,10.00,4.00,1.98,INF,INF,INF,INF,INF,10.00,2.00,INF,,INF,INF,0.50,4.90,INF,0.75,3.79
43,INF,INF,3.97,INF,0.91,INF,INF,INF,INF,INF,INF,INF,INF,1.23,INF,INF,3.03,2.53,INF,INF,1.25,INF,0.83,2.16,INF,INF,INF,10.42,INF,4.90,INF,INF,INF,INF,INF,INF,2.98,INF,1.25,INF,INF,7.35,INF,,0.78,INF,INF,INF,INF,INF
44,INF,INF,INF,INF,0.78,1.70,3.68,INF,INF,12.50,INF,INF,INF,0.83,INF,INF,INF,0.72,INF,INF,3.33,INF,0.78,4.20,INF,INF,INF,4.20,INF,INF,INF,INF,INF,INF,INF,INF,0.91,INF,0.93,INF,INF,7.35,INF,0.60,,INF,INF,9.80,INF,INF
45,1.98,0.86,INF,0.54,INF,INF,10.00,4.00,0.95,1.70,5.00,29.41,INF,INF,INF,31.25,INF,INF,5.00,INF,INF,6.67,INF,INF,1.24,INF,0.96,INF,3.97,2.16,5.00,10.00,2.38,1.98,INF,INF,INF,INF,INF,INF,1.72,INF,0.42,INF,INF,,1.98,INF,0.56,INF
46,INF,INF,2.87,1.25,INF,INF,INF,INF,0.68,2.16,INF,INF,0.83,INF,INF,INF,1.67,INF,INF,INF,INF,INF,INF,INF,0.61,0.83,INF,INF,1.11,1.07,0.49,INF,0.67,3.97,INF,INF,INF,INF,INF,INF,1.67,INF,2.00,INF,INF,1.43,,INF,1.25,INF
47,INF,INF,INF,INF,INF,2.50,INF,INF,INF,INF,INF,INF,INF,1.89,1.25,INF,INF,1.25,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.49,INF,INF,INF,INF,INF,INF,0.49,INF,1.11,1.49,1.89,INF,INF,INF,INF,INF,4.00,INF,INF,,INF,INF
48,1.98,1.70,INF,1.11,INF,INF,31.25,5.88,0.78,4.20,7.35,INF,9.80,INF,INF,INF,INF,INF,9.80,INF,INF,14.71,INF,INF,0.78,5.00,1.25,INF,1.11,12.50,2.00,INF,1.00,3.03,INF,INF,INF,INF,INF,INF,1.67,INF,1.00,INF,INF,0.72,3.33,INF,,INF
49,0.60,INF,INF,INF,INF,1.49,2.16,1.11,INF,7.35,1.44,0.93,INF,INF,3.33,1.08,INF,INF,1.25,0.49,INF,0.83,INF,7.35,INF,INF,3.79,7.35,INF,INF,INF,0.67,INF,4.00,5.05,3.33,INF,20.83,3.03,0.86,INF,5.00,3.03,INF,INF,INF,INF,INF,INF,
